Infinitive,зары́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зары́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зары́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заро́юсь
2nd Sing,заро́ешься
3rd Sing,заро́ется
1st Pl,заро́емся
2nd Pl,заро́етесь
3rd Pl,заро́ются
Past M,зары́лся
Past F,зары́лась
Past N,зары́лось
Past PL,зары́лись
Imp S,заро́йся
Imp PL,заро́йтесь
