Infinitive,наду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наду́маю
2nd Sing,наду́маешь
3rd Sing,наду́мает
1st Pl,наду́маем
2nd Pl,наду́маете
3rd Pl,наду́мают
Past M,наду́мал
Past F,наду́мала
Past N,наду́мало
Past PL,наду́мали
Imp S,наду́май
Imp PL,наду́майте
