Infinitive,обсужда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обсужда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обсужда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обсужда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обсужда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обсужда́юсь
2nd Sing,обсужда́ешься
3rd Sing,обсужда́ется
1st Pl,обсужда́емся
2nd Pl,обсужда́етесь
3rd Pl,обсужда́ются
Past M,обсужда́лся
Past F,обсужда́лась
Past N,обсужда́лось
Past PL,обсужда́лись
Imp S,обсужда́йся
Imp PL,обсужда́йтесь
