Infinitive,оспо́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оспо́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оспо́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оспо́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оспо́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оспо́рю
2nd Sing,оспо́ришь
3rd Sing,оспо́рит
1st Pl,оспо́рим
2nd Pl,оспо́рите
3rd Pl,оспо́рят
Past M,оспо́рил
Past F,оспо́рила
Past N,оспо́рило
Past PL,оспо́рили
Imp S,оспо́рь
Imp PL,оспо́рьте
