Infinitive,покля́сться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покля́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покля́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покляну́сь
2nd Sing,поклянёшься
3rd Sing,поклянётся
1st Pl,поклянёмся
2nd Pl,поклянётесь
3rd Pl,покляну́тся
Past M,покля́лся
Past F,покляла́сь
Past N,покляло́сь
Past PL,покляли́сь
Imp S,покляни́сь
Imp PL,покляни́тесь
