Infinitive,полюбова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,полюбова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полюбова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,полюбу́юсь
2nd Sing,полюбу́ешься
3rd Sing,полюбу́ется
1st Pl,полюбу́емся
2nd Pl,полюбу́етесь
3rd Pl,полюбу́ются
Past M,полюбова́лся
Past F,полюбова́лась
Past N,полюбова́лось
Past PL,полюбова́лись
Imp S,полюбу́йся
Imp PL,полюбу́йтесь
