Infinitive,попра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,попра́влюсь
2nd Sing,попра́вишься
3rd Sing,попра́вится
1st Pl,попра́вимся
2nd Pl,попра́витесь
3rd Pl,попра́вятся
Past M,попра́вился
Past F,попра́вилась
Past N,попра́вилось
Past PL,попра́вились
Imp S,попра́вься
Imp PL,попра́вьтесь
