Infinitive,потерпе́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потерпе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потерпе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,потерпе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потерплю́
2nd Sing,поте́рпишь
3rd Sing,поте́рпит
1st Pl,поте́рпим
2nd Pl,поте́рпите
3rd Pl,поте́рпят
Past M,потерпе́л
Past F,потерпе́ла
Past N,потерпе́ло
Past PL,потерпе́ли
Imp S,потерпи́
Imp PL,потерпи́те
