Infinitive,просуществова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,просуществова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просуществова́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,просуществова́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,просуществу́ю
2nd Sing,просуществу́ешь
3rd Sing,просуществу́ет
1st Pl,просуществу́ем
2nd Pl,просуществу́ете
3rd Pl,просуществу́ют
Past M,просуществова́л
Past F,просуществова́ла
Past N,просуществова́ло
Past PL,просуществова́ли
Imp S,просуществу́й
Imp PL,просуществу́йте
