Infinitive,сме́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сме́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сме́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сме́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сме́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сме́шиваюсь
2nd Sing,сме́шиваешься
3rd Sing,сме́шивается
1st Pl,сме́шиваемся
2nd Pl,сме́шиваетесь
3rd Pl,сме́шиваются
Past M,сме́шивался
Past F,сме́шивалась
Past N,сме́шивалось
Past PL,сме́шивались
Imp S,сме́шивайся
Imp PL,сме́шивайтесь
